customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,No,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),47.6,1374.53,No
CUST-00002,Female,0,No,No,22,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No,Two year,Yes,Bank transfer (automatic),114.02,2614.65,No
CUST-00003,Male,0,No,Yes,16,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),73.59,1166.51,No
CUST-00004,Male,1,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),119.53,1616.22,Yes
CUST-00005,Male,0,Yes,No,62,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),111.67,6851.4,Yes
CUST-00006,Female,0,Yes,No,43,Yes,No phone service,DSL,No,No,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),56.63,2461.37,No
CUST-00007,Male,1,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),107.29,3438.13,Yes
CUST-00008,Male,0,No,No,67,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,72.54,4852.15,No
CUST-00009,Male,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),93.75,5339.47,No
CUST-00010,Female,1,No,No,65,Yes,No,No,No,No,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,67.06,4355.3,No
CUST-00011,Male,0,No,No,69,Yes,Yes,DSL,No,No,No,No internet service,No internet service,Yes,Two year,Yes,Electronic check,118.92,8221.5,No
CUST-00012,Male,1,Yes,No,49,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,58.69,2867.57,No
CUST-00013,Male,0,No,No,33,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,27.77,960.7,No
CUST-00014,Male,0,Yes,No,19,No,Yes,No,Yes,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,105.54,1941.7,Yes
CUST-00015,Female,0,No,No,36,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),95.13,3442.45,No
CUST-00016,Male,1,No,Yes,70,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),30.87,2179.11,No
CUST-00017,Female,0,No,Yes,15,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),69.49,1034.34,No
CUST-00018,Female,0,Yes,Yes,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,87.22,2119.19,Yes
CUST-00019,Female,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),59.8,1534.48,No
CUST-00020,Male,0,No,Yes,49,Yes,Yes,DSL,No internet service,No,No internet service,Yes,Yes,No,Two year,No,Electronic check,110.69,5419.94,No
CUST-00021,Female,0,No,Yes,23,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,No,Month-to-month,No,Mailed check,114.2,2606.67,Yes
